year,month,day,close,volume,start,high,low
2017,11,29,"82,400","2,418,748","82,900","83,000","82,100"
2017,11,28,"82,600","4,083,144","82,900","83,600","81,200"
2017,11,27,"83,100","7,105,679","86,000","86,700","82,000"
2017,11,24,"85,100","2,073,899","84,500","85,400","83,900"
2017,11,23,"84,700","2,840,382","86,200","86,300","84,500"
2017,11,22,"86,800","4,592,670","86,500","87,700","86,100"
2017,11,21,"85,000","5,540,888","83,200","85,000","82,800"
2017,11,20,"82,100","2,988,991","83,300","83,300","81,800"
2017,11,17,"83,000","4,339,090","83,300","84,800","83,000"
2017,11,16,"82,500","3,053,355","82,300","82,800","81,200"
2017,11,15,"82,000","3,207,872","83,800","84,200","81,900"
2017,11,14,"83,400","3,399,976","83,000","84,500","82,900"
2017,11,13,"82,300","2,955,651","82,000","83,100","81,800"
2017,11,10,"82,000","2,357,772","81,300","82,800","81,000"
2017,11,9,"82,400","3,748,489","83,200","83,500","81,600"
2017,11,8,"83,200","3,396,387","82,100","84,400","81,800"
2017,11,7,"82,400","2,993,945","82,800","83,300","82,200"
2017,11,6,"83,500","3,131,468","83,600","84,100","83,000"
2017,11,3,"84,400","4,050,123","83,400","84,500","81,900"
2017,11,2,"83,400","4,464,960","85,000","85,100","83,200"
2017,11,1,"85,300","7,067,296","86,000","86,000","84,000"
2017,10,31,"82,200","6,620,890","80,000","82,700","79,200"
2017,10,30,"79,800","5,883,529","79,600","81,300","79,100"
2017,10,27,"78,400","8,929,263","78,100","78,700","76,500"
2017,10,26,"78,700","7,528,077","80,000","82,000","78,500"
2017,10,25,"81,700","3,914,170","82,100","82,600","80,300"
2017,10,24,"81,800","5,236,092","84,000","84,200","81,600"
2017,10,23,"84,700","5,388,391","82,600","84,700","82,100"
2017,10,20,"81,200","6,911,051","79,800","82,400","79,600"
2017,10,19,"79,000","7,675,978","79,900","81,800","79,000"
2017,10,18,"80,900","9,070,685","83,200","83,300","80,000"
2017,10,17,"83,500","6,802,500","85,700","86,600","83,500"
2017,10,16,"84,200","6,985,619","86,100","87,100","82,800"
2017,10,13,"86,100","6,101,810","88,500","88,500","85,600"
2017,10,12,"88,500","4,313,702","89,200","89,900","88,100"
2017,10,11,"89,100","5,500,820","89,900","90,300","88,100"
2017,10,10,"88,700","7,956,055","86,300","90,000","85,300"
2017,9,29,"82,900","3,579,139","83,300","84,300","82,200"
2017,9,28,"83,200","4,817,018","84,500","85,500","82,500"
2017,9,27,"82,400","5,029,200","83,100","83,800","81,400"
2017,9,26,"82,100","11,035,272","84,100","85,100","81,000"
2017,9,25,"86,300","4,656,285","83,600","86,300","83,600"
2017,9,22,"83,100","5,970,218","82,900","84,300","82,000"
2017,9,21,"83,100","6,961,713","81,100","83,400","80,400"
2017,9,20,"80,700","5,268,665","79,300","81,200","78,400"
2017,9,19,"79,200","3,934,389","80,100","80,500","78,500"
2017,9,18,"79,700","3,638,325","78,200","80,000","77,700"
2017,9,15,"77,200","2,725,277","76,100","77,500","76,000"
2017,9,14,"76,800","3,366,621","76,300","76,800","75,700"
2017,9,13,"75,700","5,682,708","75,000","77,400","74,300"
2017,9,12,"74,700","3,676,865","74,800","74,900","73,500"
2017,9,11,"73,800","3,321,612","73,600","74,200","73,200"
2017,9,8,"72,600","2,868,673","72,000","72,800","71,500"
2017,9,7,"71,400","3,877,849","71,600","72,800","71,200"
2017,9,6,"71,700","4,476,200","69,900","71,900","69,700"
2017,9,5,"69,900","4,026,248","68,600","70,100","67,900"
2017,9,4,"68,100","3,234,465","66,600","68,600","66,600"
2017,9,1,"68,700","2,304,425","69,000","69,200","67,700"
2017,8,31,"68,600","2,054,717","68,900","69,300","68,200"
2017,8,30,"68,500","2,118,742","68,300","68,900","68,100"
2017,8,29,"67,600","2,967,906","67,300","67,900","66,400"
2017,8,28,"67,900","1,843,458","68,000","68,100","67,100"
2017,8,25,"68,400","1,862,764","68,300","68,400","67,600"
2017,8,24,"68,100","2,333,347","68,200","68,700","67,500"
2017,8,23,"68,000","3,072,911","69,000","69,000","67,600"
2017,8,22,"68,200","2,208,365","67,400","68,200","67,200"
2017,8,21,"67,200","2,570,150","67,300","67,800","66,600"
2017,8,18,"67,000","3,130,891","64,900","67,300","64,800"
2017,8,17,"66,400","3,709,768","66,800","67,300","66,100"
2017,8,16,"66,100","4,714,899","67,200","67,300","65,800"
2017,8,14,"65,100","5,239,246","63,000","65,100","62,300"
2017,8,11,"61,400","6,664,578","62,000","63,000","61,400"
2017,8,10,"64,400","4,474,120","63,700","64,600","63,200"
2017,8,9,"64,200","4,037,319","65,400","65,400","64,000"
2017,8,8,"66,300","4,372,768","64,900","66,400","64,800"
2017,8,7,"64,100","3,518,575","64,000","65,000","63,700"
2017,8,4,"64,000","5,938,549","65,100","66,100","63,200"
2017,8,3,"65,500","4,992,104","67,900","67,900","65,200"
2017,8,2,"68,000","4,161,592","67,900","68,200","66,600"
2017,8,1,"65,500","3,744,523","65,300","66,500","64,700"
2017,7,31,"66,000","4,769,724","63,700","66,000","63,700"
2017,7,28,"64,600","8,093,780","67,800","67,900","64,200"
2017,7,27,"68,400","6,177,375","66,800","69,500","66,800"
2017,7,26,"66,800","9,659,618","69,600","69,900","66,700"
2017,7,25,"70,400","6,028,435","72,900","73,000","70,100"
2017,7,24,"73,000","3,598,173","71,300","73,000","71,000"
2017,7,21,"71,200","1,599,111","70,800","71,300","70,300"
2017,7,20,"71,300","1,647,153","71,400","71,700","70,800"
2017,7,19,"71,000","2,009,799","71,200","71,200","70,000"
2017,7,18,"70,800","2,066,194","70,700","71,800","70,600"
